Location Type,Incident Zip,City,Borough,Latitude,Longitude,num_calls
House of Worship,11215,BROOKLYN,BROOKLYN,40.6605783,-73.99063597,26
Park/Playground,10011,NEW YORK,MANHATTAN,40.74462061,-74.00269222,11
Store/Commercial,10028,NEW YORK,MANHATTAN,40.77623713,-73.95586787,23
Street/Sidewalk,10009,NEW YORK,MANHATTAN,40.72579798,-73.97916828,41
Club/Bar/Restaurant,10012,NEW YORK,MANHATTAN,40.72870931,-74.00024174,34
Store/Commercial,10040,NEW YORK,MANHATTAN,40.85701115,-73.93248689,147
Residential Building/House,11249,BROOKLYN,BROOKLYN,40.71121192,-73.96593854,25
House of Worship,10065,NEW YORK,MANHATTAN,40.76167795,-73.96045834,11
Park/Playground,10014,NEW YORK,MANHATTAN,40.73426727,-74.00622072,17
Store/Commercial,11417,OZONE PARK,QUEENS,40.67181585,-73.84309182,52
Street/Sidewalk,10026,NEW YORK,MANHATTAN,40.80444141,-73.94790614,12
Club/Bar/Restaurant,10019,NEW YORK,MANHATTAN,40.76334753,-73.98905845,51
Store/Commercial,10021,NEW YORK,MANHATTAN,40.76627668,-73.95641958,39
Residential Building/House,10033,NEW YORK,MANHATTAN,40.85205828,-73.93477641,86
House of Worship,10019,NEW YORK,MANHATTAN,40.76324872,-73.98913066,16
Park/Playground,10002,NEW YORK,MANHATTAN,40.71613509,-73.98946661,44
Store/Commercial,10305,STATEN ISLAND,STATEN ISLAND,40.58966104,-74.06730402,36
Street/Sidewalk,10002,NEW YORK,MANHATTAN,40.72239575,-73.98801534,22
Club/Bar/Restaurant,10009,NEW YORK,MANHATTAN,40.72982208,-73.98077622,16
Store/Commercial,11223,BROOKLYN,BROOKLYN,40.59959958,-73.98581555,55
Residential Building/House,10019,NEW YORK,MANHATTAN,40.76385801,-73.98869015,14
House of Worship,10006,NEW YORK,MANHATTAN,40.70808154,-74.01444559,19
Park/Playground,11106,ASTORIA,QUEENS,40.76330097,-73.92820671,282
Store/Commercial,10012,NEW YORK,MANHATTAN,40.72597827,-74.00133491,43
Street/Sidewalk,11218,BROOKLYN,BROOKLYN,40.64510255,-73.97047305,95
Club/Bar/Restaurant,10003,NEW YORK,MANHATTAN,40.73260346,-73.98768155,11
Store/Commercial,10019,NEW YORK,MANHATTAN,40.76430472,-73.98309468,53
Residential Building/House,10012,NEW YORK,MANHATTAN,40.72110344,-73.99418095,50
House of Worship,11385,RIDGEWOOD,QUEENS,40.70412645,-73.90171808,18
Park/Playground,10025,NEW YORK,MANHATTAN,40.80189077,-73.96842414,144
Store/Commercial,10027,NEW YORK,MANHATTAN,40.81453554,-73.95914444,184
Street/Sidewalk,11209,BROOKLYN,BROOKLYN,40.61567436,-74.03423242,41
Club/Bar/Restaurant,10457,BRONX,BRONX,40.85059339,-73.9011402,30
Store/Commercial,10002,NEW YORK,MANHATTAN,40.71839401,-73.98920652,26
Residential Building/House,10019,NEW YORK,MANHATTAN,40.7622605,-73.98800456,102
House of Worship,10075,NEW YORK,MANHATTAN,40.77303423,-73.95642599,30
